id_site;site;id_alat;lat;lon;elevasi;id_provinsi;id_kabupaten;id_kecamatan;date_created;id_user
32100203a;Cirenang;a;-6.59492;108.14199;416;32;3210;321002;2021/01/06 21:19:00;1
32100501a;Panyangkaran;a;-6.8995;108.31133;656;32;3210;321005;2021/01/06 21:19:00;1
32101106a;Sta. Met Jatiwangi;a;-6.73;108.26;42;32;3210;321011;2021/01/06 21:19:00;1
32101402a;BP3K Kertajati;a;-6.6933;108.1843;50;32;3210;321014;2021/01/06 21:19:00;1
32101403a;Pakumbahan;a;-6.71201;108.17394;71;32;3210;321014;2021/01/06 21:19:00;1
32102002a;Cigasong;a;-6.84369;108.25328;213;32;3210;321020;2021/01/06 21:19:00;1
32110302a;UPTD PKP Kec. Darmaraja;a;-6.90779;108.06459;322;32;3211;321103;2021/01/06 21:19:00;1
32111601a;Rancakalong;a;-6.82536;107.84583;833;32;3211;321116;2021/01/06 21:19:00;1
32112101a;Sindang Laya;a;-6.76682;107.84038;567;32;3211;321121;2021/01/06 21:19:00;1
32122601a;Terisi;a;-6.482;108.1509;15;32;3212;321226;2021/01/06 21:19:00;1
32130303a;PCH Subang;a;-6.55244;107.75369;90;32;3213;321303;2021/01/06 21:19:00;1
32130703a;Pegaden;a;-6.54617;107.80839;95;32;3213;321307;2021/01/06 21:19:00;1
32130802a;Cigadung;a;-6.39638;107.83003;37;32;3213;321308;2021/01/06 21:19:00;1
32130803a;Pawelutan;a;-6.40307;107.80412;59;32;3213;321308;2021/01/06 21:19:00;1
32131101a;Pamanukan;a;-6.28206;107.81594;20;32;3213;321311;2021/01/06 21:19:00;1
32131601a;Ciberes;a;-6.37606;107.58306;38;32;3213;321316;2021/01/06 21:19:00;1
32121602a;Rancabango;a;-6.37706;107.67094;43;32;3212;321216;2021/01/06 21:19:00;1
32132002a;Perkeb. Jalupang;a;-6.41969;107.65472;80;32;3213;321320;2021/01/06 21:19:00;1
32132201a;Karangtoman;a;-6.36267;107.72652;33;32;3213;321322;2021/01/06 21:19:00;1
32132202a;Tanjungsari;a;-6.39723;107.74635;33;32;3213;321322;2021/01/06 21:19:00;1
32132501a;Tambak dahan;a;-6.34823;107.81542;20;32;3213;321325;2021/01/06 21:19:00;1
32132502a;Wanasari;a;-6.35544;107.76644;30;32;3213;321325;2021/01/06 21:19:00;1
32132503a;Bojongkeding;a;-6.35395;107.85277;33;32;3213;321325;2021/01/06 21:19:00;1
32132601a;Kasomalang;a;-6.69689;107.73436;353;32;3213;321326;2021/01/06 21:19:00;1
61011701a;Tangaran;a;1.5443;109.16007;2;61;6101;610117;2021/01/06 21:19:00;1
15021701a;Pangkalan Jambu;a;-2.08146;101.55259;176;15;1502;150217;2021/01/06 21:19:00;1
15040202a;Muara Tembesi 2;a;-1.40524;103.03211;36;15;1504;150402;2021/01/06 21:19:00;1
15050902a;Bunut/Bahar Utara;a;-1.98367;103.47433;0;15;1505;150509;2021/01/06 21:19:00;1
15060801a;Renah Mendaluh;a;-1.24;102.44;0;15;1506;150608;2021/01/06 21:19:00;1
15720502a;Kumun Debai 2;a;-2.16139;101.4006;799;15;1572;157205;2021/01/06 21:19:00;1
92030501a;Bombaray;a;-2.9354;132.4031;5;92;9203;920305;2021/01/06 21:19:00;1
92060101a;TISAI SP V;a;-2.12014;133.60414;15;92;9206;920601;2021/01/06 21:19:00;1
34041603a;Ngipiksari;a;-7.73158;110.35436;711;34;3404;340416;2021/01/06 21:19:00;1
91010502a;Semangga;a;-8.41;140.47;5;91;9101;910105;2021/01/06 21:19:00;1
91010602a;Amun Kay;a;-8.41;140.5;4;91;9101;910106;2021/01/06 21:19:00;1
91011103a;Wonorejo;a;-8.24303;140.26786;7;91;9101;910111;2021/01/06 21:19:00;1
91180102a;Agats;a;-5.67222;138.25944;2;91;9118;911801;2021/01/06 21:19:00;1
